datetime,actual,predicted
93960,22.0,19.848391970872267
93961,22.0,21.316227150721947
93962,22.0,20.235179580318448
93963,21.0,19.300124843405474
93964,21.0,19.842138252270022
93965,19.0,18.852701268223463
93966,19.0,19.276415268968293
93967,19.0,19.037656990646965
93968,19.0,17.8428095930177
93969,19.0,18.666259307801784
93970,22.0,19.656332050107277
93971,25.0,21.013698156741977
93972,27.0,20.81305048643048
93973,29.0,23.48734684756558
93974,31.0,22.871731733745104
93975,31.0,23.584411760556915
93976,31.0,23.4900063742076
93977,31.0,23.752667036721153
93978,31.0,24.977724538284956
93979,30.0,24.923584956997804
93980,28.0,26.294223444712653
93981,26.0,22.437459090347527
93982,24.0,21.821677726036654
93983,23.0,21.555949664688196
93984,22.0,21.37663630345159
93985,21.0,20.25160211628412
93986,20.0,19.187918159100487
93987,19.0,20.115950961286448
93988,19.0,19.983404771385228
93989,18.0,19.39405067322494
93990,19.0,18.86897209027649
93991,19.0,18.41269871916002
93992,19.0,18.837632827478327
93993,19.0,17.65576092511472
93994,21.0,18.54067642036462
93995,21.0,18.78943945805273
93996,23.0,21.891869293252313
93997,25.0,24.078563992360717
93998,24.0,23.966918790778198
93999,27.0,25.498284242338297
94000,26.0,25.01058485402363
94001,26.0,25.96412335282722
94002,27.0,24.66079913846197
94003,27.0,26.109309083682877
94004,24.0,25.578203811920606
94005,22.0,21.61801942567108
94006,21.0,20.16382510215853
94007,21.1,20.937821688775042
94008,21.0,20.380079198437596
94009,20.0,19.88726204986221
94010,19.0,19.3782171260879
94011,18.0,19.548980221120306
94012,18.0,18.881520356647243
94013,16.0,17.25525476683087
94014,16.0,17.231973873982938
94015,16.0,18.660370750157835
94016,15.0,16.639769573264328
94017,17.0,17.828463224867832
94018,18.0,19.272660932167508
94019,21.0,19.9694919435499
94020,23.0,20.625319850291245
94021,24.0,23.818478204433035
94022,26.0,25.32516147833147
94023,27.0,22.755027734169406
94024,28.0,25.513569376567983
94025,29.0,25.25991688958794
94026,29.0,24.88489957848544
94027,29.0,26.297611671922283
94028,27.0,26.39227082198831
94029,24.0,24.12251692286627
94030,23.0,22.210198568285463
94031,21.0,23.863812137848058
94032,21.0,21.184068760956873
94033,21.0,21.122629805188755
94034,20.0,21.70835703926234
94035,18.0,19.749918055848067
94036,17.0,17.94169588933406
94037,17.0,16.89779372187231
94038,16.0,17.412671991901007
94039,16.0,17.53310466521039
94040,16.0,17.597296715336114
94041,17.0,16.997626148397355
94042,21.0,20.36031375388774
94043,24.0,21.182616879768858
94044,26.0,21.88876433976448
94045,29.0,23.213179075658456
94046,30.0,24.026991988070495
94047,32.0,24.242268457215
94048,31.0,26.87367149060779
94049,33.0,25.26240231724988
94050,33.0,25.271888349087874
94051,31.0,24.71645099133488
94052,29.0,25.59013925454641
94053,24.0,24.37834053890162
94054,24.0,21.360509749533136
94055,23.0,21.003348942457716
94056,23.0,20.063422276217008
94057,23.0,20.005129784483504
94058,23.0,20.49669767182508
94059,23.0,21.15315676655511
94060,22.0,19.773587146281233
94061,22.0,20.502486623388634
94062,22.0,19.803387218084964
94063,21.0,19.512137819388492
94064,21.0,18.5433063366802
94065,21.0,18.1925867286933
94066,23.0,19.699633735256437
94067,27.0,21.247772752845876
94068,29.0,22.942890111412652
94069,31.0,24.18722049996171
94070,33.0,23.667609352199275
94071,33.9,24.98990320287462
94072,33.9,26.352064678784604
94073,33.9,24.820742144518736
94074,32.0,24.698210060832128
94075,32.0,26.772118553074474
94076,31.0,25.675371873349903
94077,28.0,24.41432963904656
94078,27.0,23.31167318488238
94079,28.0,21.98079752289598
94080,27.0,21.860791390214718
94081,26.0,21.722165567926876
94082,26.0,20.046716598580687
94083,25.0,21.836789735206874
94084,24.0,20.313399094390828
94085,24.0,20.51211442644992
94086,24.0,19.824863412470588
94087,24.0,20.097766097674675
94088,23.0,20.03510252338457
94089,23.0,20.41971832382081
94090,26.0,20.47648512473467
94091,26.0,21.528437658727125
94092,28.0,23.168127534897838
94093,30.0,24.869764833247157
94094,32.0,26.134560122734385
94095,32.0,26.712009603136874
94096,29.0,23.479735465073734
94097,33.0,27.552092749870713
94098,32.0,27.099346641003482
94099,32.0,26.68859527829399
94100,29.0,25.236120969322325
94101,29.0,25.000882525366865
94102,25.0,21.763855847552133
94103,24.0,21.850290584179678
94104,24.0,22.384427011772885
94105,24.0,21.37273592300555
94106,23.0,19.625344403185153
94107,23.0,19.533920726496792
94108,23.0,19.36539325793671
94109,23.0,19.225986496537573
94110,23.0,19.730105083670576
94111,22.0,18.932579632880493
94112,22.0,19.00815876969654
94113,23.0,18.361104359574348
94114,24.0,18.761595845942264
94115,24.0,19.820932412689128
94116,26.0,21.503596562902032
94117,27.0,23.680223360142183
94118,27.0,23.516496813202355
94119,28.0,23.70473468235396
94120,31.0,24.99406951201362
94121,29.0,25.517772027686494
94122,29.0,27.10665547143785
94123,28.0,26.798206147263816
94124,27.0,21.410726866558814
94125,26.0,20.468748404468794
94126,26.0,20.208269887138552
94127,25.0,20.919689668680416
94128,26.0,22.026777403451003
94129,23.0,19.724344759293476
94130,22.0,18.96983819486155
94131,22.0,19.994379504900916
94132,22.0,19.511835928629946
94133,22.0,17.978937508925295
94134,22.0,19.442862064161805
94135,21.0,19.157989550676508
94136,22.0,18.90400694277594
94137,22.0,19.53715096793158
94138,22.0,19.370641232863772
94139,22.0,19.573379556329545
94140,22.0,20.15166656366057
94141,24.0,20.80859383160499
94142,24.0,21.235161525751277
94143,26.0,20.779917566245054
94144,26.0,23.524040650996852
94145,26.0,22.972154952533685
94146,26.0,22.569336854773997
94147,26.0,22.09610995405258
94148,25.0,21.300506177335137
94149,23.0,20.80993092184309
94150,22.0,18.977011700847054
94151,21.0,20.988910059021794
94152,21.0,20.851008252945295
94153,21.0,18.782793439059834
94154,21.0,20.20386935710752
94155,22.0,20.039777943618784
94156,22.0,18.887878415440696
94157,22.0,17.93105183181152
94158,21.0,17.08658404471494
94159,21.0,18.401955195876113
94160,21.0,17.854956032029673
94161,21.0,17.663965086884
94162,21.0,19.33508952694113
94163,22.0,19.526175005923836
94164,24.0,20.678025724260362
94165,24.0,20.631180413869462
94166,25.0,22.947264077428006
94167,25.0,23.20685558652589
94168,26.0,22.630718850251544
94169,24.0,22.533630398597424
94170,24.0,22.410449540006926
94171,23.0,22.182903567972584
94172,22.0,20.75670700193488
94173,21.0,20.612973291224808
94174,21.0,20.600150223777423
94175,19.0,19.365496232243014
94176,19.0,19.152271782655465
94177,19.0,18.55456769040312
94178,19.0,19.19804908630913
94179,20.0,19.467692992599215
94180,20.0,19.226703883302488
94181,19.0,17.94590644539949
94182,19.0,17.940006318421727
94183,19.0,17.42509127908317
94184,19.0,17.559665699791946
94185,19.0,18.24660633387227
94186,19.0,18.974487860889603
94187,19.0,18.950383971999802
94188,20.0,19.636214686137464
94189,20.0,19.758553054075385
94190,21.0,19.46380082746955
94191,21.0,19.529319799547242
94192,21.0,18.923346215333964
94193,21.0,19.543501932083306
94194,21.0,19.655186052260287
94195,21.0,19.513318056068872
94196,21.0,18.848669422511062
94197,21.0,19.984559026975003
94198,21.0,19.65564614014527
