datetime,actual,predicted
0,17.0,20.405965862167506
1,17.0,19.33907042264026
2,17.0,18.918691667455292
3,17.0,18.500590482668272
4,17.0,18.583350271019423
5,17.0,17.882734033854472
6,17.0,17.777064948811205
7,17.0,17.707162829704817
8,16.0,17.851348485100136
9,16.0,17.709636970888926
10,17.0,17.63995326192391
11,17.0,17.901132141390892
12,18.0,19.044632463592947
13,18.0,19.15572707223707
14,18.0,19.18615370329121
15,20.0,22.010856279794936
16,22.0,22.08053027173966
17,21.0,22.0098425493574
18,22.0,22.609927063484147
19,23.0,22.84410936158333
20,21.0,21.741592467794945
21,21.0,22.24470286257794
22,21.0,22.301502361045177
23,19.0,20.18839816027607
24,18.0,19.05866326559712
25,18.0,18.916964843692675
26,19.0,19.808400788825555
27,18.0,18.79184485516749
28,18.0,19.036261747879067
29,17.0,18.188728868422547
30,16.0,17.9915081162121
31,17.0,17.57938550013803
32,16.0,17.80526345398353
33,16.0,17.486204800979966
34,16.0,17.319608287962826
35,16.0,17.415757706035055
36,19.0,17.00336074733806
37,22.0,18.73735149496561
38,23.0,20.971337053303653
39,24.0,24.020400900787976
40,28.0,25.099661342744444
41,28.0,23.075929234473534
42,29.0,22.696532175841774
43,29.0,23.78835748003006
44,28.0,23.159421530227643
45,28.0,22.661857665402508
46,26.0,23.386291122438863
47,24.0,21.07415190189092
48,21.0,18.540523194761064
49,21.0,20.95869616930219
50,21.0,21.12312940483713
51,21.0,17.041794659469776
52,21.0,20.92654364327216
53,20.0,18.925444449495732
54,19.0,19.024744464626973
55,18.0,17.766789133704147
56,18.0,17.32591998131889
57,17.0,17.2071970911506
58,18.0,17.895874901243534
59,18.0,18.817096902702943
60,22.0,19.2838881671638
61,25.0,19.248251313797144
62,28.0,21.494603642087657
63,30.0,23.323068859011705
64,32.0,21.84771004703386
65,32.0,24.751320612447422
66,32.0,25.739035271483782
67,32.0,22.49245211124035
68,30.0,24.659667305514688
69,31.0,24.56731527769284
70,28.0,23.28407722867888
71,26.0,22.728434215132225
72,23.0,21.107167372867483
73,22.0,20.924771524823157
74,22.0,19.848391970872267
75,22.0,21.316227150721947
76,22.0,20.235179580318448
77,21.0,19.300124843405474
78,21.0,19.842138252270026
79,19.0,18.852701268223463
80,19.0,19.276415268968293
81,19.0,19.037656990646965
82,19.0,17.8428095930177
83,19.0,18.666259307801784
84,22.0,19.656332050107277
85,25.0,21.013698156741977
86,27.0,20.81305048643048
87,29.0,23.48734684756558
88,31.0,22.871731733745104
89,31.0,23.584411760556915
90,31.0,23.4900063742076
91,31.0,23.752667036721153
92,31.0,24.977724538284956
93,30.0,24.923584956997804
94,28.0,26.294223444712653
95,26.0,22.437459090347527
96,24.0,21.821677726036658
97,23.0,21.555949664688196
98,22.0,21.37663630345159
99,21.0,20.25160211628412
100,20.0,19.187918159100487
101,19.0,20.115950961286448
102,19.0,19.983404771385228
103,18.0,19.39405067322494
104,19.0,18.86897209027649
105,19.0,18.41269871916002
106,19.0,18.837632827478327
107,19.0,17.65576092511472
108,21.0,18.54067642036462
109,21.0,18.78943945805273
