datetime,actual,predicted
94020,23.0,21.706767525399176
94021,24.0,22.586169000264977
94022,26.0,23.234006199683577
94023,27.0,23.379449236058434
94024,28.0,24.783441435759226
94025,29.0,24.909379080891565
94026,29.0,25.35541879483318
94027,29.0,24.733930712933613
94028,27.0,23.581418445108785
94029,24.0,22.92095490341433
94030,23.0,22.017197039169655
94031,21.0,20.45801347207669
94032,21.0,20.704155208816704
94033,21.0,20.629791660002873
94034,20.0,20.54425646612555
94035,18.0,19.28722186522238
94036,17.0,20.984492453825812
94037,17.0,19.294155151142547
94038,16.0,18.96414530020078
94039,16.0,19.482419563832135
94040,16.0,17.75929244210105
94041,17.0,17.9870290918207
94042,21.0,18.748776195636818
94043,24.0,19.08076701808687
94044,26.0,20.6777550464035
94045,29.0,22.425774262051064
94046,30.0,22.65456030670246
94047,32.0,24.465041618011607
94048,31.0,24.103404697764592
94049,33.0,24.941537168855163
94050,33.0,25.575928811660418
94051,31.0,24.705283923070123
94052,29.0,24.840036333623015
94053,24.0,23.07245805572117
94054,24.0,21.267960507102472
94055,23.0,19.679727284019126
94056,23.0,19.762813726073585
94057,23.0,19.436728050701785
94058,23.0,19.188945313151425
94059,23.0,18.776635289717348
94060,22.0,18.609982257086852
94061,22.0,18.768333193786965
94062,22.0,18.600331330187373
94063,21.0,17.82602954726036
94064,21.0,17.847008081748772
94065,21.0,18.666654831122532
94066,23.0,19.43696867019251
94067,27.0,20.07703329370007
94068,29.0,20.39904110458794
94069,31.0,22.294781916326485
94070,33.0,23.701549698452983
94071,33.9,23.95146316204408
94072,33.9,24.843209582810474
94073,33.9,24.28402642843611
94074,32.0,25.325064330601535
94075,32.0,24.31454533366835
94076,31.0,24.331768231658913
94077,28.0,22.731220916849548
94078,27.0,20.770273740134098
94079,28.0,20.509430848386568
94080,27.0,19.280244826279173
94081,26.0,19.81876246112653
94082,26.0,19.053062991699864
94083,25.0,18.9907987758536
94084,24.0,19.246338714362416
94085,24.0,18.624180562724963
94086,24.0,18.437148936889724
94087,24.0,20.159878983421837
94088,23.0,18.759289686349195
94089,23.0,18.896470027557516
94090,26.0,18.64831016217414
94091,26.0,19.307804729102116
94092,28.0,20.91919817262091
94093,30.0,22.637104724403315
94094,32.0,22.50256318173804
94095,32.0,24.016647493048282
94096,29.0,24.211376070514245
94097,33.0,24.913351721328638
94098,32.0,24.687802473593845
94099,32.0,25.449929836043975
94100,29.0,23.724673428951643
94101,29.0,22.14841960641476
94102,25.0,21.695149833022366
94103,24.0,20.811374231093875
94104,24.0,20.19571624707125
94105,24.0,19.53066360415569
94106,23.0,19.237330839316716
94107,23.0,19.414375977437683
94108,23.0,21.111762662203724
94109,23.0,18.869176199526404
94110,23.0,18.964423687790944
94111,22.0,19.34311172434699
94112,22.0,18.27010443006513
94113,23.0,19.49680817469307
94114,24.0,19.209806807149985
94115,24.0,19.84442084416616
94116,26.0,21.23352436433684
94117,27.0,22.184168681310556
94118,27.0,22.525732383059438
94119,28.0,23.73848164083255
94120,31.0,24.22073424585864
94121,29.0,26.377737657850066
94122,29.0,25.004904001712447
94123,28.0,24.030660278171297
94124,27.0,23.774719465551893
94125,26.0,24.415520461686963
94126,26.0,19.50569378766854
94127,25.0,19.818618591752543
94128,26.0,19.657520146585227
94129,23.0,19.139137638528243
94130,22.0,18.906022688224056
94131,22.0,18.883661034942843
94132,22.0,20.876147071400272
94133,22.0,20.88803530219985
94134,22.0,19.242959053533045
94135,21.0,19.33844589725879
94136,22.0,17.92612590217155
94137,22.0,17.99898035749359
94138,22.0,17.95036066924308
94139,22.0,20.493189278869355
94140,22.0,20.680198158451727
94141,24.0,21.7942386440792
94142,24.0,22.66114398459338
94143,26.0,23.480051995853696
94144,26.0,24.547543650896227
94145,26.0,24.696441343349324
94146,26.0,25.512405625374424
94147,26.0,24.723991627929376
94148,25.0,24.977427894479305
94149,23.0,23.25099183121887
94150,22.0,21.478075544421525
94151,21.0,19.952823029893494
94152,21.0,19.709937747221787
94153,21.0,19.94807065194787
94154,21.0,19.890270184482105
94155,22.0,19.48814385835669
94156,22.0,20.47848253020567
94157,22.0,19.60659214352369
94158,21.0,18.72167459507089
94159,21.0,20.160937791395373
94160,21.0,19.13759815788968
94161,21.0,19.53499979038639
94162,21.0,19.277495330482456
94163,22.0,19.71143672120372
94164,24.0,21.278384490499604
94165,24.0,23.953541122207
94166,25.0,24.346776327190568
94167,25.0,25.003714247348103
94168,26.0,24.513447276495373
94169,24.0,25.570272823438348
94170,24.0,25.705551734905736
94171,23.0,25.93145402398667
94172,22.0,25.056022555035252
94173,21.0,23.617450541004313
94174,21.0,21.57722885031438
94175,19.0,20.406336385849986
94176,19.0,20.393264181235477
94177,19.0,19.47476065327461
94178,19.0,20.83864167565461
94179,20.0,19.947418355516138
94180,20.0,18.861027632404245
94181,19.0,18.960247698533138
94182,19.0,19.485229639053095
94183,19.0,18.770100065104796
94184,19.0,18.874300277790933
94185,19.0,18.74530065015044
94186,19.0,18.663485396400407
94187,19.0,19.487480704404103
94188,20.0,20.293315925170187
94189,20.0,20.49256575024865
94190,21.0,22.477703642780956
94191,21.0,23.17588523271618
94192,21.0,24.763101352758326
94193,21.0,23.7287852663257
94194,21.0,24.50889503321885
94195,21.0,22.932140117240582
94196,21.0,23.31617596758979
94197,21.0,21.243265993503382
94198,21.0,20.771688529746697
